ID	T	d	DEPARTAMENTO	MACROSECTOR	CATEGORIA	ACTIVO	PASIVO	EMPLEOS
3941	0	0	ANTIOQUIA	SERVICIOS	C	457758	336302	8
3942	2	0	ATLANTICO	SERVICIOS	C	2777048	1530731	3
3943	1	0	HUILA	MANUFACTURA	C	2871999	1888336	1
3944	1	1	BOGOTA	COMERCIO	C	164094	1094619	1
3945	1	0	CALDAS	COMERCIO	C	1560633	1336898	8
3946	1	1	ANTIOQUIA	MANUFACTURA	C	206682	1054771	0
3947	3	1	BOYACA	CONSTRUCCION	C	1075000	1646028	1
3948	3	1	BOGOTA	COMERCIO	C	45863	48812	1
3949	0	0	HUILA	CONSTRUCCION	C	10877950	5085378	26
3950	1	0	BOGOTA	CONSTRUCCION	C	141399	7667496	0
3951	0	0	ATLANTICO	COMERCIO	B	9148356	5330553	0
3952	1	0	BOGOTA	SERVICIOS	C	1832334	1266153	1
3953	3	0	BOGOTA	SERVICIOS	C	939831	493123	1
3954	2	0	BOLIVAR	SERVICIOS	C	359564	285298	1
3955	4	0	ATLANTICO	COMERCIO	C	1186876	743410	4
3956	3	0	BOGOTA	SERVICIOS	C	1797632	1129129	9
3957	2	0	ANTIOQUIA	SERVICIOS	C	233548	1249360	2
3958	0	0	BOGOTA	SERVICIOS	C	4459167	2323554	9
3959	1	0	ATLANTICO	TRANSPORTE	A	688005457	729155732	0
3960	4	0	META	MANUFACTURA	C	2449869	1427408	0
3961	2	0	ATLANTICO	COMERCIO	C	1162413	1152717	5
3962	1	0	SANTANDER	SERVICIOS	C	3741240	3566122	3
3963	1	1	CALDAS	CONSTRUCCION	C	14622	2372534	1
3964	1	0	BOGOTA	SERVICIOS	B	13466608	9439899	0
3965	0	0	BOGOTA	SERVICIOS	B	16658127	13641687	132
3966	1	1	BOGOTA	COMERCIO	C	78679	235418	1
3967	4	0	VALLE	COMERCIO	C	1043403	809723	6
3968	1	0	SANTANDER	COMERCIO	C	1093981	1663817	1
3969	4	0	CALDAS	CONSTRUCCION	C	1028513	698792	1
3970	1	1	NARIÑO	COMERCIO	C	605374	4645269	1
3971	1	0	SANTANDER	CONSTRUCCION	C	1059870	553514	1
3972	1	0	SANTANDER	COMERCIO	C	590738	408441	1
3973	1	0	N_SANTANDER	MANUFACTURA	C	35970937	35867855	223
3974	2	0	NARIÑO	SERVICIOS	B	39878768	42816439	83
3975	1	0	SANTANDER	MANUFACTURA	C	2662989	3723013	1
3976	0	0	ANTIOQUIA	CONSTRUCCION	C	7899056	5342827	1
3977	1	0	BOGOTA	SERVICIOS	C	5223277	3052684	22
3978	2	0	ANTIOQUIA	SERVICIOS	C	3043049	2379251	3
3979	0	1	BOYACA	SERVICIOS	C	7499181	7079217	0
3980	3	0	ATLANTICO	SERVICIOS	B	10568274	10116342	78
3981	1	0	BOLIVAR	CONSTRUCCION	B	55672350	36344159	1
3982	3	0	BOYACA	AGROPECUARIO	C	1008762	1162992	0
3983	1	0	BOGOTA	SERVICIOS	A	109197978	100398411	20
3984	1	1	N_SANTANDER	CONSTRUCCION	C	2304690	3987450	1
3985	4	0	BOGOTA	CONSTRUCCION	C	1068076	827232	0
3986	1	0	BOGOTA	COMERCIO	C	8925056	9922013	71
3987	2	0	BOYACA	HIDROCARBUROS	C	218466	174568	2
3988	1	0	SANTANDER	TRANSPORTE	C	16721697	6671344	0
3989	0	1	ANTIOQUIA	COMERCIO	C	36475	1153579	1
3990	2	0	SANTANDER	CONSTRUCCION	C	509338	2088522	1
3991	1	0	BOGOTA	SERVICIOS	C	9499149	7176212	15
3992	1	0	BOGOTA	COMERCIO	C	9505038	7309287	1
3993	1	1	BOLIVAR	CONSTRUCCION	C	10170409	26309622	0
3994	0	0	BOLIVAR	TRANSPORTE	C	11939588291	10520852349	1
3995	2	0	BOGOTA	MANUFACTURA	C	4524816	2869446	0
3996	4	0	CUNDINAMARCA	SERVICIOS	A	379774416	436268545	0
